processed_msg,freq,is_ngram
1,2,0
1 bankwire,2,1
1 bankwire transfer,2,2
1 bankwire transfer 1,2,3
1 bankwire transfer 1 per,2,4
1 bankwire transfer 1 per week,2,5
1 bankwire transfer 1 per week 100,2,6
1 bankwire transfer 1 per week 100 min,2,7
1 bankwire transfer 1 per week 100 min 2500,2,8
1 bankwire transfer 1 per week 100 min 2500 max,2,9
1 bankwire transfer 1 per week 100 min 2500 max in,2,10
1 bankwire transfer 1 per week 100 min 2500 max in 5,2,11
1 bankwire transfer 1 per week 100 min 2500 max in 5 to,2,12
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15,2,13
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business,2,14
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days,2,15
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once,2,16
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed,2,17
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50,2,18
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2,2,19
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin,2,20
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2,2,21
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per,2,22
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1,2,23
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per,2,24
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day,2,25
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100,2,26
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min,2,27
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500,2,28
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max,2,29
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly,2,30
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available,2,31
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once,2,32
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed,2,33
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no,2,34
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3,2,35
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet,2,36
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3,2,37
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per,2,38
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week,2,39
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100,2,40
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min,2,41
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500,2,42
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max,2,43
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly,2,44
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly available,2,45
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly available once,2,46
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly available once processed,2,47
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly available once processed no,2,48
1 bankwire transfer 1 per week 100 min 2500 max in 5 to 15 business days once processed 50 fee2 bitcoin 2 per week1 per day 100 min 2500 max instantly available once processed no fee3 ezeewallet 3 per week 100 min 2500 max instantly available once processed no fee,2,49
10,4,0
10 has,4,1
10 has been,4,2
10 has been added,4,3
10 has been added good,2,4
10 has been added good luck,2,5
4,3,0
4 enter,3,1
4 enter the,3,2
4 enter the security,3,3
4 enter the security code,3,4
4 enter the security code and,3,5
4 enter the security code and set,3,6
4 enter the security code and set up,3,7
4 enter the security code and set up a,3,8
4 enter the security code and set up a new,3,9
4 enter the security code and set up a new password,3,10
4 enter the security code and set up a new password and,3,11
4 enter the security code and set up a new password and tap,3,12
4 enter the security code and set up a new password and tap on,3,13
4 enter the security code and set up a new password and tap on save,3,14
5,2,0
5 business,2,1
5 business days,2,2
500,2,0
500 all,2,1
500 all set,2,2
a,103,0
a bonus,2,1
a bonus has,2,2
a bonus has been,2,3
a bonus has been added,2,4
a comp,2,1
a comp of,2,2
a comp of 10,2,3
a comp of 10 has,2,4
a comp of 10 has now,2,5
a comp of 10 has now been,2,6
a comp of 10 has now been added,2,7
a comp of 10 has now been added for,2,8
a comp of 10 has now been added for you,2,9
a deposit,4,1
a deposit is,4,2
a deposit is needed,2,3
a deposit is needed on,2,4
a deposit is needed on your,2,5
a deposit is needed on your account,2,6
a deposit is needed on your account before,2,7
a deposit is needed on your account before a,2,8
a deposit is needed on your account before a free,2,9
a deposit is needed on your account before a free bonus,2,10
a deposit is needed on your account before a free bonus can,2,11
a deposit is needed on your account before a free bonus can be,2,12
a deposit is needed on your account before a free bonus can be added,2,13
a deposit is needed on your account before a free bonus can be added to,2,14
a deposit is needed on your account before a free bonus can be added to it,2,15
a deposit is needed on your account before a free bonus can be added to it this,2,16
a deposit is needed on your account before a free bonus can be added to it this is,2,17
a deposit is needed on your account before a free bonus can be added to it this is due,2,18
a deposit is needed on your account before a free bonus can be added to it this is due to,2,19
a deposit is needed on your account before a free bonus can be added to it this is due to the,2,20
a deposit is needed on your account before a free bonus can be added to it this is due to the last,2,21
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction,2,22
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on,2,23
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your,2,24
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account,2,25
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being,2,26
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the,2,27
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption,2,28
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption of,2,29
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption of a,2,30
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption of a free,2,31
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption of a free offer,2,32
a deposit is required,2,3
a deposit is required before,2,4
a deposit is required before another,2,5
a deposit is required before another free,2,6
a deposit is required before another free offer,2,7
a deposit is required before another free offer can,2,8
a deposit is required before another free offer can be,2,9
a deposit is required before another free offer can be applied,2,10
a free,3,1
a free bonus,3,2
a free bonus offer,3,3
a free bonus offer of,3,4
a free bonus offer of 50,3,5
a free bonus offer of 50 has,3,6
a free bonus offer of 50 has been,3,7
a free bonus offer of 50 has been added,3,8
a free bonus offer of 50 has been added for,3,9
a free bonus offer of 50 has been added for you,3,10
a genuine,15,1
a genuine solution,15,2
a genuine solution for,15,3
a genuine solution for all,15,4
a genuine solution for all your,15,5
a genuine solution for all your queries,15,6
a genuine solution for all your queries thank,15,7
a genuine solution for all your queries thank you,15,8
a genuine solution for all your queries thank you for,15,9
a genuine solution for all your queries thank you for contacting,15,10
a genuine solution for all your queries thank you for contacting casino,15,11
a genuine solution for all your queries thank you for contacting casino support,15,12
a genuine solution for all your queries thank you for contacting casino support my,15,13
a genuine solution for all your queries thank you for contacting casino support my name,15,14
a genuine solution for all your queries thank you for contacting casino support my name is,15,15
a genuine solution for all your queries thank you for contacting casino support my name is angel,15,16
a genuine solution for all your queries thank you for contacting casino support my name is angel and,9,17
a genuine solution for all your queries thank you for contacting casino support my name is angel and i,9,18
a genuine solution for all your queries thank you for contacting casino support my name is angel and i am,9,19
a genuine solution for all your queries thank you for contacting casino support my name is angel and i am happy,9,20
a genuine solution for all your queries thank you for contacting casino support my name is angel and i am happy to,9,21
a genuine solution for all your queries thank you for contacting casino support my name is angel and i am happy to help,9,22
a genuine solution for all your queries thank you for contacting casino support my name is angel how,6,17
a genuine solution for all your queries thank you for contacting casino support my name is angel how can,6,18
a genuine solution for all your queries thank you for contacting casino support my name is angel how can i,6,19
a genuine solution for all your queries thank you for contacting casino support my name is angel how can i help,6,20
a hearty,46,1
a hearty i,46,2
a hearty i am,3,3
a hearty i am very,3,4
a hearty i am very delighted,3,5
a hearty i am very delighted to,3,6
a hearty i am very delighted to have,3,7
a hearty i am very delighted to have you,3,8
a hearty i am very delighted to have you come,3,9
a hearty i am very delighted to have you come in,3,10
a hearty i am very delighted to have you come in today,3,11
a hearty i am very delighted to have you come in today and,3,12
a hearty i am very delighted to have you come in today and will,3,13
